Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
Other multilaterals not specified,,1971,1346650,
Other multilaterals not specified,,1972,1162662,
Other multilaterals not specified,,1973,2260453,
Other multilaterals not specified,,1974,505685340,
Other multilaterals not specified,,1975,480820960,
Other multilaterals not specified,,1976,1375707400,
Other multilaterals not specified,,1977,3684875000,
Other multilaterals not specified,,1978,4804232000,
Other multilaterals not specified,,1979,1909574700,
Other multilaterals not specified,,1980,4174140200,
Other multilaterals not specified,,1981,1162800800,
Other multilaterals not specified,,1982,290196380,
Other multilaterals not specified,,1983,-95578860,
Other multilaterals not specified,,1984,-354911680,
Other multilaterals not specified,,1985,-793229700,
Other multilaterals not specified,,1986,-9420757,
Other multilaterals not specified,,1987,-14034328,
Other multilaterals not specified,,1988,3636390,
Other multilaterals not specified,,1989,-8693878,
Other multilaterals not specified,,1990,-15694970,
Other multilaterals not specified,,1991,-10593980,
Other multilaterals not specified,,1992,-24204480,
Other multilaterals not specified,,1993,-8797653,
Other multilaterals not specified,,1994,-13351862,
Other non-DAC countries,,1970,445352580,
Other non-DAC countries,,1971,409124960,
Other non-DAC countries,,1972,388154750,
Other non-DAC countries,,1973,1246815500,
Other non-DAC countries,,1974,2235570400,
Other non-DAC countries,,1975,1806863900,
Other non-DAC countries,,1976,482117150,
Other non-DAC countries,,1977,500122200,
Other non-DAC countries,,1978,578555900,
Other non-DAC countries,,1979,2549000700,
Other non-DAC countries,,1980,3015435500,
Other non-DAC countries,,1981,1011495740,
Other non-DAC countries,,1982,293228930,
Other non-DAC countries,,1983,160711340,
Other non-DAC countries,,1984,-31452992,
Other non-DAC countries,,1985,74193540,
Other non-DAC countries,,1986,265484030,
Other non-DAC countries,,1987,130370500,
Other non-DAC countries,,1988,180666450,
Other non-DAC countries,,1989,482967700,
Other non-DAC countries,,1990,252981070,
Other non-DAC countries,,1991,58374690,
Other non-DAC countries,,1992,23238644,
Other non-DAC countries,,1993,18299716,
People's Postcode Lottery,,2016,24887798,
People's Postcode Lottery,,2017,45206324,
People's Postcode Lottery,,2018,53548844,
People's Postcode Lottery,,2019,66325836,
People's Postcode Lottery,,2020,76816470,
People's Postcode Lottery,,2021,62937612,
People's Postcode Lottery,,2022,83133810,
People's Postcode Lottery,,2023,78744560,
People's Postcode Lottery,,2024,81997190,
Poland,POL,1975,129668620,
Poland,POL,1976,121571610,
Poland,POL,1977,75373660,
Poland,POL,1978,85335510,
Poland,POL,1979,82666880,
Poland,POL,1980,104023290,
Poland,POL,1981,15888590,
Poland,POL,1982,7980467,
Poland,POL,1983,5034651,
Poland,POL,1984,11059800,
Poland,POL,1985,50620788,
Poland,POL,1986,36909028,
Poland,POL,1987,22290932,
Poland,POL,1988,19139824,
Poland,POL,1989,11069733,
Poland,POL,1990,4012007.2,
Poland,POL,1991,1539823,
Poland,POL,1998,35821036,
Poland,POL,1999,41661710,
Poland,POL,2000,60301740,
Poland,POL,2001,67678984,
Poland,POL,2002,26467352,
Poland,POL,2003,47695796,
Poland,POL,2004,184760450,
Poland,POL,2005,277491600,
Poland,POL,2006,383548380,
Poland,POL,2007,398696640,
Poland,POL,2008,347749380,
Poland,POL,2009,428215680,
Poland,POL,2010,412247460,
Poland,POL,2011,434481900,
Poland,POL,2012,470797100,
Poland,POL,2013,527588740,
Poland,POL,2014,485853660,
Poland,POL,2015,559544800,
Poland,POL,2016,878941950,
Poland,POL,2017,849197760,
Poland,POL,2018,895489700,
Poland,POL,2019,926009100,
Poland,POL,2020,962389250,
Poland,POL,2021,1080623600,
Poland,POL,2022,4055382000,
Poland,POL,2023,2571070000,
Poland,POL,2024,1674956000,
Portugal,PRT,1960,14537615,
Portugal,PRT,1961,499089820,
Portugal,PRT,1966,240525230,
Portugal,PRT,1967,520111460,
Portugal,PRT,1980,15751087,
Portugal,PRT,1981,24724846,
Portugal,PRT,1982,17621996,
Portugal,PRT,1983,59203944,
Portugal,PRT,1984,41828064,
Portugal,PRT,1985,49860204,
Portugal,PRT,1986,79409896,
Portugal,PRT,1987,124608880,
Portugal,PRT,1988,240952820,
Portugal,PRT,1989,312224770,
Portugal,PRT,1990,322375780,
Portugal,PRT,1991,428268580,
Portugal,PRT,1992,512035900,
Portugal,PRT,1993,456670240,
Portugal,PRT,1994,566985300,
Portugal,PRT,1995,420493470,
Portugal,PRT,1996,357443260,
Portugal,PRT,1997,449182820,
Portugal,PRT,1998,459274340,
Portugal,PRT,1999,495372600,
Portugal,PRT,2000,543018940,
Portugal,PRT,2001,534456420,
Portugal,PRT,2002,585744500,
Portugal,PRT,2003,468035740,
Portugal,PRT,2004,1340921100,
Portugal,PRT,2005,474463200,
Portugal,PRT,2006,478522080,
Portugal,PRT,2007,505882620,
Portugal,PRT,2008,621969300,
Portugal,PRT,2009,526812500,
Portugal,PRT,2010,695647400,
Portugal,PRT,2011,724651700,
Portugal,PRT,2012,645633150,
Portugal,PRT,2013,513857300,
Portugal,PRT,2014,449771550,
Portugal,PRT,2015,377755940,
Portugal,PRT,2016,414351900,
Portugal,PRT,2017,443968200,
Portugal,PRT,2018,424019300,
Portugal,PRT,2019,431645340,
Portugal,PRT,2020,457981730,
Portugal,PRT,2021,459785470,
Portugal,PRT,2022,482788000,
Portugal,PRT,2023,454869980,
Portugal,PRT,2024,548236800,
Postcode Lottery Group,,2016,369138370,
Postcode Lottery Group,,2017,411726340,
Postcode Lottery Group,,2018,404538600,
Postcode Lottery Group,,2019,402437440,
Postcode Lottery Group,,2020,390169920,
Postcode Lottery Group,,2021,351265250,
Postcode Lottery Group,,2022,367256670,
Postcode Lottery Group,,2023,331602600,
Postcode Lottery Group,,2024,291649920,
Private Infrastructure Development Group,,2021,19921018,
Private Infrastructure Development Group,,2022,8054410,
Private Infrastructure Development Group,,2023,11402000,
Private Infrastructure Development Group,,2024,13469792,
Private donors,,2009,3423204000,Civil society organizations reporting aid data
Private donors,,2011,3537356500,Civil society organizations reporting aid data
Private donors,,2012,3434767000,Civil society organizations reporting aid data
Private donors,,2013,3763901400,Civil society organizations reporting aid data
Private donors,,2014,3830244600,Civil society organizations reporting aid data
Private donors,,2015,4310580000,Civil society organizations reporting aid data
Private donors,,2016,5694536700,Civil society organizations reporting aid data
Private donors,,2017,8693625000,Civil society organizations reporting aid data
Private donors,,2018,9281740000,Civil society organizations reporting aid data
Private donors,,2019,9420125000,Civil society organizations reporting aid data
Private donors,,2020,11407589000,Civil society organizations reporting aid data
Private donors,,2021,12461425000,Civil society organizations reporting aid data
Private donors,,2022,11712986000,Civil society organizations reporting aid data
Private donors,,2023,11609375000,Civil society organizations reporting aid data
Private donors,,2024,7724608000,Civil society organizations reporting aid data
Qatar,QAT,1973,466256060,
Qatar,QAT,1974,839537150,
Qatar,QAT,1975,1096626000,
Qatar,QAT,1976,518082080,
Qatar,QAT,1977,416888160,
Qatar,QAT,1978,138513340,
Qatar,QAT,1979,725030500,
Qatar,QAT,1980,630010200,
Qatar,QAT,1981,597769300,
Qatar,QAT,1982,310546560,
Qatar,QAT,1983,15183446,
Qatar,QAT,1984,6015452,
Qatar,QAT,1985,11476560,
Qatar,QAT,1986,35117756,
Qatar,QAT,1987,-3642060,
Qatar,QAT,1988,4594267,
Qatar,QAT,1989,-5702057,
Qatar,QAT,1990,-3867574,
Qatar,QAT,1992,29268,
Qatar,QAT,1993,5185669,
Qatar,QAT,1994,3195318,
Qatar,QAT,2019,631017700,
Qatar,QAT,2020,638394600,
Qatar,QAT,2021,687068400,
Qatar,QAT,2022,874893900,
Qatar,QAT,2023,709012740,
Qatar,QAT,2024,698185860,
Regional development banks,,1965,-462570,
Regional development banks,,1966,-286197800,
Regional development banks,,1967,-280386880,
Regional development banks,,1973,3666956,
Regional development banks,,1974,13330334,
Regional development banks,,1975,78646840,
Regional development banks,,1976,88373210,
Regional development banks,,1977,169016480,
Regional development banks,,1978,307898050,
Regional development banks,,1979,377670400,
Regional development banks,,1980,502201440,
Regional development banks,,1981,471647100,
Regional development banks,,1982,555892700,
Regional development banks,,1983,656094460,
Regional development banks,,1984,465186020,
Regional development banks,,1985,746353600,
Regional development banks,,1986,795058900,
Regional development banks,,1987,852070460,
Regional development banks,,1988,720217900,
Regional development banks,,1989,977902700,
Regional development banks,,1990,1086419300,
Regional development banks,,1991,1065973100,
Regional development banks,,1992,1123049900,
Regional development banks,,1993,1095135400,
Regional development banks,,1994,943018050,
Regional development banks,,1995,714711940,
Regional development banks,,1996,830728450,
Regional development banks,,1997,876318900,
Regional development banks,,1998,884129400,
Regional development banks,,1999,738684900,
Regional development banks,,2000,513544600,
Regional development banks,,2001,1009693800,
Regional development banks,,2002,1351188700,
Regional development banks,,2003,867772160,
Regional development banks,,2004,1716285300,
Regional development banks,,2005,1597739300,
Regional development banks,,2006,3019470000,
Regional development banks,,2007,1926143100,
Regional development banks,,2008,2268785700,
Regional development banks,,2009,3691917300,
Regional development banks,,2010,2446279400,
Regional development banks,,2011,2813828400,
Regional development banks,,2012,5161383000,
Regional development banks,,2013,5830720500,
Regional development banks,,2014,5745781000,
Regional development banks,,2015,6595709000,
Regional development banks,,2016,6090400000,
Regional development banks,,2017,5619982000,
Regional development banks,,2018,3996488000,
Regional development banks,,2019,4567985700,
Regional development banks,,2020,7126785500,
Regional development banks,,2021,4742883300,
Regional development banks,,2022,5177905700,
Regional development banks,,2023,4078448400,
Regional development banks,,2024,2656056600,
Rockefeller Foundation,,2018,128009384,
Rockefeller Foundation,,2019,129957270,
Rockefeller Foundation,,2020,136127760,
Rockefeller Foundation,,2021,380013340,
Rockefeller Foundation,,2022,120923790,
Romania,ROU,2008,130745576,
Romania,ROU,2009,168271220,
Romania,ROU,2010,124745330,
Romania,ROU,2011,168805460,
Romania,ROU,2012,150232700,
Romania,ROU,2013,173478750,
Romania,ROU,2014,277981500,
Romania,ROU,2015,234661230,
Romania,ROU,2016,297560300,
Romania,ROU,2017,307047400,
Romania,ROU,2018,318779170,
Romania,ROU,2019,327327070,
Romania,ROU,2020,382644060,
Romania,ROU,2021,479778850,
Romania,ROU,2022,476061600,
Romania,ROU,2023,547910460,
Romania,ROU,2024,538925900,
Russia,RUS,2010,402936960,
Russia,RUS,2011,399600060,
Russia,RUS,2012,355995970,
Russia,RUS,2013,525198660,
Russia,RUS,2014,724103500,
Russia,RUS,2015,1319210500,
Russia,RUS,2016,1461076200,
Russia,RUS,2017,1159129700,
Russia,RUS,2018,1018934000,
Russia,RUS,2019,1234570000,
Russia,RUS,2020,1047063740,
Saudi Arabia,SAU,1966,2238510600,
Saudi Arabia,SAU,1970,1178753700,
Saudi Arabia,SAU,1971,1367811300,
Saudi Arabia,SAU,1972,2015242400,
Saudi Arabia,SAU,1973,5543233000,
Saudi Arabia,SAU,1974,9043536000,
Saudi Arabia,SAU,1975,10345785000,
Saudi Arabia,SAU,1976,9801516000,
Saudi Arabia,SAU,1977,8153779700,
Saudi Arabia,SAU,1978,15708008000,
Saudi Arabia,SAU,1979,10428683000,
Saudi Arabia,SAU,1980,13919915000,
Saudi Arabia,SAU,1981,13903451000,
Saudi Arabia,SAU,1982,9408943000,
Saudi Arabia,SAU,1983,7908031500,
Saudi Arabia,SAU,1984,8138178600,
Saudi Arabia,SAU,1985,6581134000,
Saudi Arabia,SAU,1986,7532471300,
Saudi Arabia,SAU,1987,5442210000,
Saudi Arabia,SAU,1988,3135738000,
Saudi Arabia,SAU,1989,2038432400,
Saudi Arabia,SAU,1990,5645166000,
Saudi Arabia,SAU,1991,2623781400,
Saudi Arabia,SAU,1992,1145878800,
Saudi Arabia,SAU,1993,716401660,
Saudi Arabia,SAU,1994,461038660,
Saudi Arabia,SAU,1995,388368130,
Saudi Arabia,SAU,1996,501636100,
Saudi Arabia,SAU,1997,327070080,
Saudi Arabia,SAU,1998,372610600,
Saudi Arabia,SAU,1999,267898430,
Saudi Arabia,SAU,2000,413591970,
Saudi Arabia,SAU,2001,326749540,
Saudi Arabia,SAU,2002,3821158400,
Saudi Arabia,SAU,2003,3281060600,
Saudi Arabia,SAU,2004,2203138600,
Saudi Arabia,SAU,2005,1267651700,
Saudi Arabia,SAU,2006,2422423600,
Saudi Arabia,SAU,2007,1727227500,
Saudi Arabia,SAU,2008,5298388000,
Saudi Arabia,SAU,2009,3456917800,
Saudi Arabia,SAU,2010,3798957000,
Saudi Arabia,SAU,2011,5248989000,
Saudi Arabia,SAU,2012,1370217900,
Saudi Arabia,SAU,2013,5915852300,
Saudi Arabia,SAU,2014,14191759000,
Saudi Arabia,SAU,2015,989447040,
Saudi Arabia,SAU,2016,1791079000,
Saudi Arabia,SAU,2017,2201460700,
Saudi Arabia,SAU,2018,5293260000,
Saudi Arabia,SAU,2019,2301082000,
Saudi Arabia,SAU,2020,2112299500,
Saudi Arabia,SAU,2021,7231492000,
Saudi Arabia,SAU,2022,6636466700,
Saudi Arabia,SAU,2023,5208044500,
Saudi Arabia,SAU,2024,5164209700,
Slovakia,SVK,1999,21627120,
Slovakia,SVK,2000,17547114,
Slovakia,SVK,2001,24587514,
Slovakia,SVK,2002,17876860,
Slovakia,SVK,2003,31033018,
Slovakia,SVK,2004,48065160,
Slovakia,SVK,2005,90912190,
Slovakia,SVK,2006,81850330,
Slovakia,SVK,2007,82136670,
Slovakia,SVK,2008,95686720,
Slovakia,SVK,2009,79298690,
Slovakia,SVK,2010,81123090,
Slovakia,SVK,2011,88744616,
Slovakia,SVK,2012,87749710,
Slovakia,SVK,2013,91246090,
Slovakia,SVK,2014,88420680,
Slovakia,SVK,2015,108121380,
Slovakia,SVK,2016,135940030,
Slovakia,SVK,2017,148195200,
Slovakia,SVK,2018,160184340,
Slovakia,SVK,2019,138615260,
Slovakia,SVK,2020,162168530,
Slovakia,SVK,2021,168084510,
Slovakia,SVK,2022,194645150,
Slovakia,SVK,2023,175450000,
Slovakia,SVK,2024,188167780,
Slovenia,SVN,2005,46767544,
Slovenia,SVN,2006,57532304,
Slovenia,SVN,2007,62264490,
Slovenia,SVN,2008,70604550,
Slovenia,SVN,2009,75017810,
Slovenia,SVN,2010,65198828,
Slovenia,SVN,2011,65631308,
Slovenia,SVN,2012,65699264,
Slovenia,SVN,2013,66228164,
Slovenia,SVN,2014,65845510,
Slovenia,SVN,2015,80301016,
Slovenia,SVN,2016,102563930,
Slovenia,SVN,2017,92601850,
Slovenia,SVN,2018,95376390,
Slovenia,SVN,2019,103233520,
Slovenia,SVN,2020,103630660,
Slovenia,SVN,2021,124536290,
Slovenia,SVN,2022,190894130,
Slovenia,SVN,2023,163670000,
Slovenia,SVN,2024,161216880,
South Korea,KOR,1987,47973420,
South Korea,KOR,1988,57307590,
South Korea,KOR,1989,49253696,
South Korea,KOR,1990,85625080,
South Korea,KOR,1991,76357460,
South Korea,KOR,1992,100701970,
South Korea,KOR,1993,141623070,
South Korea,KOR,1994,164968200,
South Korea,KOR,1995,122289390,
South Korea,KOR,1996,168062980,
South Korea,KOR,1997,222689520,
South Korea,KOR,1998,309154460,
South Korea,KOR,1999,460866700,
South Korea,KOR,2000,290320420,
South Korea,KOR,2001,399369300,
South Korea,KOR,2002,395930900,
South Korea,KOR,2003,477600960,
South Korea,KOR,2004,514639400,
South Korea,KOR,2005,808772200,
South Korea,KOR,2006,455558180,
South Korea,KOR,2007,663562050,
South Korea,KOR,2008,887397800,
South Korea,KOR,2009,1000692350,
South Korea,KOR,2010,1270967700,
South Korea,KOR,2011,1357201400,
South Korea,KOR,2012,1643084000,
South Korea,KOR,2013,1736641900,
South Korea,KOR,2014,1748760400,
South Korea,KOR,2015,1877438600,
South Korea,KOR,2016,2212995600,
South Korea,KOR,2017,2071059300,
South Korea,KOR,2018,2206038500,
South Korea,KOR,2019,2442237000,
South Korea,KOR,2020,2217681700,
South Korea,KOR,2021,2725330200,
South Korea,KOR,2022,2928376600,
South Korea,KOR,2023,3296490000,
South Korea,KOR,2024,4234710500,
Spain,ESP,1980,456102850,
Spain,ESP,1981,767223100,
Spain,ESP,1982,797090200,
Spain,ESP,1983,272262900,
Spain,ESP,1984,538340160,
Spain,ESP,1985,655528100,
Spain,ESP,1986,585761900,
Spain,ESP,1987,555543000,
Spain,ESP,1988,530510140,
Spain,ESP,1989,1100187100,
Spain,ESP,1990,1573556200,
Spain,ESP,1991,1961400600,
Spain,ESP,1992,2179161300,
Spain,ESP,1993,2224159500,
Spain,ESP,1994,2255677400,
Spain,ESP,1995,2067765400,
Spain,ESP,1996,1883714000,
Spain,ESP,1997,2095629200,
Spain,ESP,1998,2321668000,
Spain,ESP,1999,2343864000,
Spain,ESP,2000,2296580000,
Spain,ESP,2001,3298517200,
Spain,ESP,2002,2968225300,
Spain,ESP,2003,2726849000,
Spain,ESP,2004,2965272000,
Spain,ESP,2005,3522811000,
Spain,ESP,2006,4234963500,
Spain,ESP,2007,5053363700,
Spain,ESP,2008,6254189000,
Spain,ESP,2009,6196867600,
Spain,ESP,2010,5870090000,
Spain,ESP,2011,3927934000,
Spain,ESP,2012,2078633600,
Spain,ESP,2013,2309208800,
Spain,ESP,2014,1851062700,
Spain,ESP,2015,1638650500,
Spain,ESP,2016,4952150500,
Spain,ESP,2017,2908211500,
Spain,ESP,2018,2776543700,
Spain,ESP,2019,3018798800,
Spain,ESP,2020,2965246000,
Spain,ESP,2021,3416055600,
Spain,ESP,2022,4420165600,
Spain,ESP,2023,3650440000,
Spain,ESP,2024,4010080500,
Susan T. Buffett Foundation,,2017,318352000,
Susan T. Buffett Foundation,,2018,367182180,
Susan T. Buffett Foundation,,2019,405858050,
Susan T. Buffett Foundation,,2020,368550850,
Susan T. Buffett Foundation,,2021,294554020,
Susan T. Buffett Foundation,,2022,245554370,
Susan T. Buffett Foundation,,2023,397717630,
Sweden,SWE,1960,53897770,
Sweden,SWE,1961,65632376,
Sweden,SWE,1962,138646270,
Sweden,SWE,1963,168081180,
Sweden,SWE,1964,228935410,
Sweden,SWE,1965,251359680,
Sweden,SWE,1966,354279040,
Sweden,SWE,1967,352986600,
Sweden,SWE,1968,411641900,
Sweden,SWE,1969,672414100,
Sweden,SWE,1970,622603140,
Sweden,SWE,1971,777172400,
Sweden,SWE,1972,843300160,
Sweden,SWE,1973,1002282940,
Sweden,SWE,1974,1361094900,
Sweden,SWE,1975,1567729400,
Sweden,SWE,1976,1578469800,
Sweden,SWE,1977,1884004100,
Sweden,SWE,1978,1740866300,
Sweden,SWE,1979,1931450900,
Sweden,SWE,1980,1662102100,
Sweden,SWE,1981,1746762800,
Sweden,SWE,1982,2153850000,
Sweden,SWE,1983,1825834600,
Sweden,SWE,1984,1799880000,
Sweden,SWE,1985,1992806900,
Sweden,SWE,1986,2014132700,
Sweden,SWE,1987,2159895000,
Sweden,SWE,1988,2185025300,
Sweden,SWE,1989,2498442200,
Sweden,SWE,1990,2337215500,
Sweden,SWE,1991,2325789200,
Sweden,SWE,1992,2577186300,
Sweden,SWE,1993,2424012300,
Sweden,SWE,1994,2409927700,
Sweden,SWE,1995,2013470500,
Sweden,SWE,1996,2197251600,
Sweden,SWE,1997,2135370900,
Sweden,SWE,1998,2002228400,
Sweden,SWE,1999,2134585200,
Sweden,SWE,2000,2572814800,
Sweden,SWE,2001,2621965000,
Sweden,SWE,2002,2929436200,
Sweden,SWE,2003,2852040000,
Sweden,SWE,2004,2925572600,
Sweden,SWE,2005,3648058400,
Sweden,SWE,2006,4163752400,
Sweden,SWE,2007,4070049000,
Sweden,SWE,2008,4244451600,
Sweden,SWE,2009,4554155500,
Sweden,SWE,2010,4238131000,
Sweden,SWE,2011,4666026500,
Sweden,SWE,2012,4512224000,
Sweden,SWE,2013,4780098600,
Sweden,SWE,2014,5289737700,
Sweden,SWE,2015,7225010700,
Sweden,SWE,2016,4990195700,
Sweden,SWE,2017,5521711000,
Sweden,SWE,2018,5912420000,
Sweden,SWE,2019,5450050000,
Sweden,SWE,2020,6355088400,
Sweden,SWE,2021,5387994000,
Sweden,SWE,2022,5527621600,
Sweden,SWE,2023,5481920000,
Sweden,SWE,2024,4694459400,
Swedish Postcode Lottery,,2016,66448660,
Swedish Postcode Lottery,,2017,69846970,
Swedish Postcode Lottery,,2018,69350030,
Swedish Postcode Lottery,,2019,58390984,
Swedish Postcode Lottery,,2020,59693570,
Swedish Postcode Lottery,,2021,54215824,
Swedish Postcode Lottery,,2022,51435590,
Swedish Postcode Lottery,,2023,51361864,
Swedish Postcode Lottery,,2024,46230772,
Switzerland,CHE,1960,78883710,
Switzerland,CHE,1961,171115680,
Switzerland,CHE,1962,100404776,
Switzerland,CHE,1963,121093160,
Switzerland,CHE,1964,170530420,
Switzerland,CHE,1965,211131980,
Switzerland,CHE,1966,221761340,
Switzerland,CHE,1967,212290860,
Switzerland,CHE,1968,382713920,
Switzerland,CHE,1969,460224540,
Switzerland,CHE,1970,443449280,
Switzerland,CHE,1971,364594750,
Switzerland,CHE,1972,704218000,
Switzerland,CHE,1973,544027700,
Switzerland,CHE,1974,496422820,
Switzerland,CHE,1975,613989400,
Switzerland,CHE,1976,627739700,
Switzerland,CHE,1977,637931700,
Switzerland,CHE,1978,667200900,
Switzerland,CHE,1979,746209340,
Switzerland,CHE,1980,869882500,
Switzerland,CHE,1981,906417150,
Switzerland,CHE,1982,927557500,
Switzerland,CHE,1983,1188269400,
Switzerland,CHE,1984,1143975600,
Switzerland,CHE,1985,1239501700,
Switzerland,CHE,1986,1226452100,
Switzerland,CHE,1987,1290479200,
Switzerland,CHE,1988,1390745700,
Switzerland,CHE,1989,1358197500,
Switzerland,CHE,1990,1482440600,
Switzerland,CHE,1991,1670723100,
Switzerland,CHE,1992,2117642100,
Switzerland,CHE,1993,1514746900,
Switzerland,CHE,1994,1715192700,
Switzerland,CHE,1995,1623965000,
Switzerland,CHE,1996,1604048800,
Switzerland,CHE,1997,1677187100,
Switzerland,CHE,1998,1656118700,
Switzerland,CHE,1999,1880471600,
Switzerland,CHE,2000,1886148900,
Switzerland,CHE,2001,1904275700,
Switzerland,CHE,2002,1821260200,
Switzerland,CHE,2003,2152492300,
Switzerland,CHE,2004,2357939700,
Switzerland,CHE,2005,2685252600,
Switzerland,CHE,2006,2457469400,
Switzerland,CHE,2007,2351780000,
Switzerland,CHE,2008,2562325800,
Switzerland,CHE,2009,2857959200,
Switzerland,CHE,2010,2728735200,
Switzerland,CHE,2011,3080700400,
Switzerland,CHE,2012,3254711300,
Switzerland,CHE,2013,3376602600,
Switzerland,CHE,2014,3692916200,
Switzerland,CHE,2015,3941395500,
Switzerland,CHE,2016,4119713300,
Switzerland,CHE,2017,3630430500,
Switzerland,CHE,2018,3522027800,
Switzerland,CHE,2019,3581102600,
Switzerland,CHE,2020,4095276300,
Switzerland,CHE,2021,4135932200,
Switzerland,CHE,2022,4819924500,
Switzerland,CHE,2023,5191550000,
Switzerland,CHE,2024,4397442000,
Taiwan,TWN,1988,27547864,
Taiwan,TWN,1989,36236216,
Taiwan,TWN,1990,39333710,
Taiwan,TWN,1991,192139100,
Taiwan,TWN,1992,155207220,
Taiwan,TWN,1993,90929064,
Taiwan,TWN,1994,112905976,
Taiwan,TWN,1995,117534650,
Taiwan,TWN,1996,119616730,
Taiwan,TWN,1997,94373250,
Taiwan,TWN,1998,39163410,
Taiwan,TWN,2004,534827260,
Taiwan,TWN,2005,596655360,
Taiwan,TWN,2006,613711000,
Taiwan,TWN,2007,572530900,
Taiwan,TWN,2008,463132600,
Taiwan,TWN,2009,453771870,
Taiwan,TWN,2010,415865100,
Taiwan,TWN,2011,392770180,
Taiwan,TWN,2012,321226400,
Taiwan,TWN,2013,282891900,
Taiwan,TWN,2014,285179000,
Taiwan,TWN,2015,293468130,
Taiwan,TWN,2016,381179200,
Taiwan,TWN,2017,363939140,
Taiwan,TWN,2018,318915500,
Taiwan,TWN,2019,351294500,
Taiwan,TWN,2020,544148600,
Taiwan,TWN,2021,334604320,
Taiwan,TWN,2023,471480000,
Taiwan,TWN,2024,373118940,
Thailand,THA,2006,88204504,
Thailand,THA,2007,74529256,
Thailand,THA,2008,188381740,
Thailand,THA,2009,42448384,
Thailand,THA,2010,4880200,
Thailand,THA,2011,23479258,
Thailand,THA,2012,12121155,
Thailand,THA,2013,37847996,
Thailand,THA,2014,71791790,
Thailand,THA,2015,71904060,
Thailand,THA,2016,195151550,
Thailand,THA,2017,151497890,
Thailand,THA,2018,146779460,
Thailand,THA,2019,160370930,
Thailand,THA,2020,77106430,
Thailand,THA,2021,86006230,
Thailand,THA,2022,75287830,
Thailand,THA,2023,74710000,
Thailand,THA,2024,64356476,
Turkey,TUR,1990,3687475,
Turkey,TUR,1991,148005760,
Turkey,TUR,1992,109154590,
Turkey,TUR,1993,74316900,
Turkey,TUR,1994,89995320,
Turkey,TUR,1995,136789660,
Turkey,TUR,1996,112275540,
Turkey,TUR,1997,101002550,
Turkey,TUR,1998,88567450,
Turkey,TUR,1999,161460400,
Turkey,TUR,2000,109655224,
Turkey,TUR,2001,110421690,
Turkey,TUR,2002,112462570,
Turkey,TUR,2003,82703930,
Turkey,TUR,2004,356638300,
Turkey,TUR,2005,553092200,
Turkey,TUR,2006,641320500,
Turkey,TUR,2007,462865760,
Turkey,TUR,2008,538785100,
Turkey,TUR,2009,546999400,
Turkey,TUR,2010,678073700,
Turkey,TUR,2011,919643970,
Turkey,TUR,2012,1825834000,
Turkey,TUR,2013,2384931800,
Turkey,TUR,2014,2770706700,
Turkey,TUR,2015,3487855000,
Turkey,TUR,2016,5926900700,
Turkey,TUR,2017,8069548500,
Turkey,TUR,2018,9742218000,
Turkey,TUR,2019,10099158000,
Turkey,TUR,2020,10193297000,
Turkey,TUR,2021,9474826000,
Turkey,TUR,2022,8336840700,
Turkey,TUR,2023,6842840600,
Turkey,TUR,2024,6446484500,
UBS Optimus Foundation,,2019,103286340,
UBS Optimus Foundation,,2020,114207920,
UBS Optimus Foundation,,2021,82554584,
UBS Optimus Foundation,,2022,118974040,
UBS Optimus Foundation,,2023,158057040,
UBS Optimus Foundation,,2024,187460220,
UN COVID-19 Multi-Partner Trust Fund,,2021,22409780,
UN COVID-19 Multi-Partner Trust Fund,,2022,-953899,
UN Capital Development Fund,,2020,11594694,
UN Capital Development Fund,,2021,11938429,
UN Capital Development Fund,,2022,14000366,
UN Capital Development Fund,,2023,8724894,
UN Capital Development Fund,,2024,8054896.5,
UN Development Coordination Office (UNDCO),,2019,155671420,
UN Development Coordination Office (UNDCO),,2020,194140580,
UN Development Coordination Office (UNDCO),,2021,197233100,
UN Development Coordination Office (UNDCO),,2022,221260820,
UN Development Coordination Office (UNDCO),,2023,193202940,
UN Development Coordination Office (UNDCO),,2024,197429820,
UN Economic and Social Commission for Western Asia (UNESCWA),,2023,3731690,
UN Economic and Social Commission for Western Asia (UNESCWA),,2024,3407685,
UN Institute for Disarmament Research,,2019,204703,
UN Institute for Disarmament Research,,2020,416516,
UN Institute for Disarmament Research,,2021,491377,
UN Institute for Disarmament Research,,2022,331209,
UN Institute for Disarmament Research,,2023,716590,
UN Institute for Disarmament Research,,2024,399259,
UN Peacebuilding Fund,,2007,10637489,
UN Peacebuilding Fund,,2008,35628856,
UN Peacebuilding Fund,,2009,47037396,
UN Peacebuilding Fund,,2010,55614624,
UN Peacebuilding Fund,,2011,63720580,
UN Peacebuilding Fund,,2012,63569356,
UN Peacebuilding Fund,,2013,44475350,
UN Peacebuilding Fund,,2014,67049492,
UN Peacebuilding Fund,,2015,81522780,
UN Peacebuilding Fund,,2016,54208890,
UN Peacebuilding Fund,,2017,61679504,
UN Peacebuilding Fund,,2018,130161270,
UN Peacebuilding Fund,,2019,163430000,
UN Peacebuilding Fund,,2020,189513820,
UN Peacebuilding Fund,,2021,197192580,
UN Peacebuilding Fund,,2022,187657300,
UN Peacebuilding Fund,,2023,183070670,
